name,2025-12-10 02:55:00,2025-12-10 03:13:00
ARC Raiders,86922,81939
Agreeee,8331,8356
Albion Online,7912,7561
Always On,7967,7919
Apex Legends,16529,16832
Art,11801,11773
Battlefield 6,11532,11918
Call of Duty: Black Ops 7,11135,11298
Call of Duty: Warzone,39259,39567
Clash Royale,43485,41919
Counter-Strike,57705,64789
Cyberpunk 2077,0,15180
DJs,10456,11294
Dark Souls: Remastered,8880,8540
Dead by Daylight,40450,39169
Destiny 2,17030,16498
Dota 2,59329,57515
EA Sports FC 26,35436,31854
ELDEN RING NIGHTREIGN,9300,11357
Escape from Tarkov,41626,41334
FINAL FANTASY XIV ONLINE,10164,9867
Fortnite,59739,73167
Grand Theft Auto V,79429,79873
Hearthstone,10528,12610
I'm on Observation Duty 8,12930,12415
IRL,69013,81102
Just Chatting,407706,370482
League of Legends,128805,128963
Legend of YMIR,7677,7971
Marvel Rivals,28689,23112
Minecraft,157242,189203
Overwatch 2,22638,25782
PUBG: BATTLEGROUNDS,16591,16664
Path of Exile 2,26700,28594
Pokémon Community Game,90681,93735
Rust,105131,107176
Slots,23302,25670
Special Events,15239,15642
Sports,9151,8311
Talk Shows & Podcasts,0,9129
Teamfight Tactics,40512,38861
Tom Clancy's Rainbow Six Siege X,12380,12032
Ultimate Sheep Raccoon,11979,12346
Uncharted 4: A Thief's End,12342,12200
VALORANT,47570,55374
Virtual Casino,24800,24448
Warframe,24217,23441
Where Winds Meet,10940,10613
World of Tanks,54855,44647
World of Warcraft,44834,45515
