name,first_snapshot,last_snapshot,streamers_first,streamers_last,viewers_first,viewers_last,delta_streamers,delta_viewers
Just Chatting,2025-12-10 02:55:00,2025-12-10 03:13:00,5161,5294,407706,370482,133,-37224
Marvel Rivals,2025-12-10 02:55:00,2025-12-10 03:13:00,1136,1195,28689,23112,59,-5577
ARC Raiders,2025-12-10 02:55:00,2025-12-10 03:13:00,3445,3556,86922,81939,111,-4983
EA Sports FC 26,2025-12-10 02:55:00,2025-12-10 03:13:00,920,940,35436,31854,20,-3582
Clash Royale,2025-12-10 02:55:00,2025-12-10 03:13:00,149,156,43485,41919,7,-1566
Dead by Daylight,2025-12-10 02:55:00,2025-12-10 03:13:00,2062,2224,40450,39169,162,-1281
Warframe,2025-12-10 02:55:00,2025-12-10 03:13:00,297,323,24217,23441,26,-776
Destiny 2,2025-12-10 02:55:00,2025-12-10 03:13:00,366,403,17030,16498,37,-532
I'm on Observation Duty 8,2025-12-10 02:55:00,2025-12-10 03:13:00,21,27,12930,12415,6,-515
Albion Online,2025-12-10 02:55:00,2025-12-10 03:13:00,149,159,7912,7561,10,-351
Tom Clancy's Rainbow Six Siege X,2025-12-10 02:55:00,2025-12-10 03:13:00,737,752,12380,12032,15,-348
Where Winds Meet,2025-12-10 02:55:00,2025-12-10 03:13:00,676,682,10940,10613,6,-327
FINAL FANTASY XIV ONLINE,2025-12-10 02:55:00,2025-12-10 03:13:00,439,444,10164,9867,5,-297
Always On,2025-12-10 02:55:00,2025-12-10 03:13:00,258,259,7967,7919,1,-48
Art,2025-12-10 02:55:00,2025-12-10 03:13:00,791,815,11801,11773,24,-28
